24 group		12 group		6 group			4 group			3 group
1.486254E-04,	3.043248E-04,	7.485183E-04,	7.485183E-04,	7.485183E-04,
3.043248E-04,	7.485183E-04,	5.530844E-03,	4.086771E-02,	2.23E+00
4.539993E-04,	2.034684E-03,	4.086771E-02,	2.23E+00	
7.485183E-04,	5.530844E-03,	3.019738E-01,		
1.234098E-03,	1.503439E-02,	2.23E+00		
2.034684E-03,	4.086771E-02,			
3.354626E-03,	1.110900E-01,			
5.530844E-03,	3.019738E-01,			
9.118820E-03,	8.208500E-01,			
1.503439E-02,	2.231302E+00,			
2.478752E-02,	6.07E+00			
4.086771E-02,				
6.737947E-02,				
1.110900E-01,				
1.831564E-01,				
3.019738E-01,				
4.978707E-01,				
8.208500E-01,				
1.353353E+00,				
2.231302E+00,				
3.678794E+00,				
6.065307E+00,				
1.0000E+01				
