,kq.1,kq.160,kq.280,TFU.1.1,TFU.1.2,TFU.1.3,TFU.1.4,TFU.1.5,TFU.1.avr,TFU.160.1,TFU.160.2,TFU.160.3,TFU.160.4,TFU.160.5,TFU.160.avr,TFU.280.1,TFU.280.2,TFU.280.3,TFU.280.4,TFU.280.5,TFU.280.avr,CLA.1.1,CLA.1.2,CLA.1.3,CLA.1.4,CLA.1.5,CLA.1.avr,CLA.160.1,CLA.160.2,CLA.160.3,CLA.160.4,CLA.160.5,CLA.160.avr,CLA.280.1,CLA.280.2,CLA.280.3,CLA.280.4,CLA.280.5,CLA.280.avr,TCO.1.1,TCO.1.2,TCO.1.3,TCO.1.4,TCO.1.5,TCO.1.avr,TCO.160.1,TCO.160.2,TCO.160.3,TCO.160.4,TCO.160.5,TCO.160.avr,TCO.280.1,TCO.280.2,TCO.280.3,TCO.280.4,TCO.280.5,TCO.280.avr
94,0.7964926483,0.8143075273,0.8142076973000001,824.0149536,946.5980414999999,1013.0473939999999,1017.2746109999999,975.0628157,955.1995631599999,1211.197637,1469.126543,1594.530097,1576.717927,1451.0083240000001,1460.5161056000002,1222.384616,1504.786718,1662.301653,1687.302231,1614.570565,1538.2691565999999,660.0158756,743.2391375,807.8479065,844.3501394,854.6321065,782.0170330999999,839.7500823999999,1023.393148,1155.562331,1216.205258,1213.171161,1089.61639608,847.2420862,1047.1033439999999,1202.77604,1293.717672,1327.3127029999998,1143.6303690399998,580.8090028,642.1535622,705.4430864,759.2337719,796.6529492000001,696.8584745,645.1782435,785.9843311000001,927.1829788999999,1040.463086,1109.5709669999999,901.6759212999999,647.8616939,796.390117,951.5935592000001,1085.719848,1182.5127519999999,932.8155940199998
95,0.8368062251999999,0.8526438873000001,0.8524985440999999,835.8102927,966.0218774,1037.009475,1043.233967,997.7775514,975.9706327,1237.665845,1510.283565,1642.740574,1627.8894779999998,1495.3183800000002,1502.7795684,1249.854814,1547.293218,1712.952308,1742.709975,1666.5288859999998,1583.8678402,665.6270562999999,753.7066877000001,822.1738406000001,861.3356517999999,871.7270932,794.91406592,853.5092929,1047.680041,1187.408352,1252.40391,1248.204168,1117.8411527800001,861.6793657,1072.867911,1237.1103779999999,1334.076209,1368.653278,1174.87742834,582.8946606000001,647.3871903,714.1668279,771.202878,810.6888342,705.2680782000001,650.1326958999999,798.1701946000001,947.0706962000002,1066.991432,1139.704135,920.4138307400001,653.0627574,809.2904923,972.9111398,1114.81411,1216.8072619999998,953.3771522999999
96,0.853726843,0.8654493708,0.86529839,839.0313287999999,972.8954545,1046.8227669999999,1054.760689,1008.467673,984.39558246,1244.09602,1523.1095699999998,1659.3255359999998,1646.537995,1513.313577,1517.2765396,1256.388146,1560.119569,1729.5800120000001,1761.4177350000002,1685.4733079999999,1598.595754,667.1835416,757.346123,827.8244162000001,868.5277291000001,879.2928469000001,800.0349313600002,856.9416363,1055.232865,1198.19759,1265.226667,1261.564239,1127.43259946,865.2094819,1080.570448,1248.110553,1347.430233,1383.136053,1184.89135378,583.4751041000001,649.1146586,717.3937126000001,775.9788628,816.5801911,708.50850584,651.3762727999999,801.7659017999999,953.4668353,1075.985192,1150.512598,926.62135998,654.3416614,812.9666982000001,979.4475337000001,1124.118919,1228.279112,959.83078486
97,0.8429074117,0.8498468519,0.8497170148000001,832.8485225,966.5850111999999,1040.5625,1048.730752,1003.4298779999999,978.4313327399999,1228.587865,1506.788759,1641.96948,1628.742708,1498.769229,1500.9716082,1240.0240919999999,1542.2860859999998,1709.5008690000002,1739.7858620000002,1665.7011109999999,1579.4596040000001,664.2710146000001,753.720077,823.7001847999999,864.1119504000001,875.0323844000001,796.1671222399999,849.0189646,1045.140413,1186.114843,1252.085475,1249.366207,1116.34518052,856.7135063,1069.2599699999998,1233.920822,1331.014387,1366.598692,1171.5014754600002,582.3968053,647.0736957,714.5404241,772.4975762999999,812.7727157,705.8562434199999,648.5399167,796.1819029,945.2889363,1065.742666,1139.400674,919.0308191799999,651.2968643999999,806.7900131,970.0752382999999,1111.829507,1214.151183,950.82856116
98,0.7447369447,0.7481822670999999,0.7481483139,802.9114325,916.8532936,980.8321651,987.1484598,949.8186329,927.5127967800001,1159.058909,1395.90775,1512.7885099999999,1497.292447,1385.763101,1390.1621434,1167.737518,1426.2072050000002,1572.084024,1593.686764,1529.092119,1457.761526,650.1025308999999,727.0484315,787.907011,823.1426297999999,834.0266182999999,764.4454443,813.1490525,980.5851303999999,1102.037629,1159.042465,1159.6051300000001,1042.88388138,818.9357171,1000.28249,1142.101007,1225.393531,1258.2438849999999,1088.9913260199999,577.1269765,633.7686747,692.6060854,743.0758921,778.6708768,685.0497011,635.6141999,763.9875333,892.8282640000001,996.7613447999998,1061.6003660000001,870.1583416000001,637.675824,772.4949680999999,913.2734288999999,1035.119085,1124.034856,896.5196324000001
111,0.7789128406,0.7962322866,0.7961432181,823.1096213,943.8099502,1005.7226699999999,1003.631359,959.8855854000001,947.23183718,1208.971422,1462.675241,1578.289297,1546.650222,1417.054506,1442.7281375999999,1219.896124,1497.8449640000001,1645.497336,1656.204297,1578.069514,1519.502447,659.5462175,741.7678005,803.9818194000001,836.9526242000001,845.4740978,777.5445118800001,838.4038252,1019.5711039999999,1146.059663,1198.783496,1192.1039369999999,1078.98440504,845.7177167000001,1042.891126,1192.602116,1275.053657,1303.949058,1132.04273474,580.6299905000001,641.4869859,703.5627937,755.2278985,790.6232229,694.3061782999999,644.6708768,784.2281421,922.4694502,1030.7736960000002,1095.299301,895.4882932200001,647.2884606,794.4445952000001,946.5007546,1075.304191,1166.866674,926.08093508
112,0.9228224584999999,0.9462326718999999,0.9461841259999999,842.0620551000001,976.367137,1038.03464,1027.098905,966.6336297,970.0392733599999,1266.3715,1558.857025,1684.045704,1646.184937,1485.578049,1528.2074429999998,1268.0504039999998,1577.341686,1728.801543,1729.7686879999999,1619.278239,1584.648112,653.6967024,736.0971302999999,796.5572452,827.2560772,832.0765081000001,769.13673264,837.2659434,1031.0547689999999,1164.885999,1221.685794,1211.640435,1093.30658808,839.1516481000001,1043.006014,1194.13663,1275.633175,1296.5446470000002,1129.6944228200002,576.9665467,635.0759927,694.7098473,744.3460404,777.6289762,685.74548066,641.0453147000001,781.8282037,923.8611622000001,1037.307182,1105.188856,897.8461437200001,641.7092690000001,786.4894476,937.5443797,1066.2690699999998,1155.950168,917.5924668599998
113,1.008270821,1.033437183,1.0333161,866.4052988,1017.6450550000001,1086.534723,1074.063101,1005.521656,1010.0339667599999,1322.590031,1648.747875,1786.596811,1748.36112,1570.899513,1615.43907,1325.4284949999999,1669.198715,1836.436748,1840.837104,1720.4697670000003,1678.4741657999998,664.2912761,756.6079227999999,823.6264186000001,857.0435603,861.1972137,792.5532783000001,865.6342145,1083.507098,1231.907986,1294.189038,1280.0199,1151.0516473000002,868.4882372000002,1097.734899,1266.193151,1356.715251,1377.581911,1193.34268984,580.7937344,644.9742511,711.0045921,765.8094522000001,802.11272,700.93894996,651.0370035,807.3050492000001,965.2862954,1091.232192,1165.227455,936.0175990199999,652.056903,813.042745,981.5747382999999,1125.197751,1224.166617,959.2077508599999
114,1.0546238940000001,1.073780882,1.07363484,876.3088193,1036.094591,1110.8640779999998,1101.92044,1030.189762,1031.0755380599999,1344.454289,1686.1028670000003,1831.5859260000002,1798.012864,1618.31497,1655.6941832,1347.744616,1707.2817109999999,1882.20902,1892.120539,1772.5143309999999,1720.3740434,668.6831846,765.8254999,836.9439662000001,873.5863314,878.1176270999999,804.6313218399999,877.0376984999999,1106.039491,1262.032532,1329.064906,1315.3754470000001,1177.9100149,880.2466644,1121.001065,1297.840452,1394.234461,1417.441003,1222.15272908,582.3843119,649.3420113,718.7013671,776.870569,815.4577057,708.551193,655.070325,818.1031684,983.5143906999999,1116.118924,1194.42956,953.4472736200001,656.220024,824.2008535,1000.624538,1151.657082,1256.170179,977.7745352999998
115,1.0581285409999999,1.068342757,1.068213139,873.2592993999999,1033.943923,1111.320049,1106.23352,1035.15848,1031.98305428,1335.928483,1678.1154190000002,1825.2083469999998,1795.735588,1620.827555,1651.1630784000001,1338.772062,1698.224125,1873.70568,1886.259668,1770.69112,1713.5305309999999,667.4054595,764.6317544999999,836.7207282,875.0845546,880.2811169,804.82472274,872.8759650000001,1101.0602039999999,1257.189832,1326.046784,1314.674058,1174.3693686,875.7684217,1115.233293,1291.4041320000001,1388.638634,1413.635432,1216.9359825400002,581.9293309,648.6172505,718.1486949,777.0696057,816.3979257999999,708.43256156,653.6265752999999,815.3513634,979.9113272,1112.6598099999999,1192.004451,950.7107053799998,654.6600639999999,821.0819366000001,996.1841059000001,1146.672393,1251.570167,974.0337333
